range,area,unit
"原公园路大酒店,原都机厂家属区,红砖街,公园路",都江堰市,都江堰市危旧房改造中心
"林荫街6号,,,",武侯区,成都市武侯区危旧房改造中心
"林荫街6号,,,",武侯区,成都嘉义房屋拆迁有限责任公司
"鼓楼北四街,草市街,德盛路,灶君庙",青羊区,成都市青羊区国投建设发展有限公司
"德盛路26号,德盛大厦,现状围墙,德盛路",青羊区,成都市青羊区统一建设办公室
"东城根下街,长顺下街,东门街,红墙巷",青羊区,成都市青羊区国投建设发展有限公司
"东华门街,人民中路,东二巷,上升街",青羊区,成都凯翔房屋拆迁有限公司
"东华门街,人民中路,东二巷,上升街",青羊区,成都市青羊区国投建设发展有限公司
"顺城大街,交通银行大厦,上升街,西玉龙街",青羊区,成都城建置业有限责任公司
"顺城大街,交通银行大厦,上升街,西玉龙街",青羊区,成都市青羊区国投建设发展有限公司
"西华门街,人民中路一段,东御河沿街,东二巷",青羊区,成都嘉义房屋拆迁有限责任公司
"西华门街,人民中路一段,东御河沿街,东二巷",青羊区,成都市青羊区国投建设发展有限公司
"西华门街,东城根中街,回民小学,建设大夏、天府中心现状建筑",青羊区,成都祥鹤房屋拆迁有限公司
"西华门街,东城根中街,回民小学,建设大夏、天府中心现状建筑",青羊区,成都蓉川恒瑞房屋拆迁有限公司
"西华门街,东城根中街,回民小学,建设大夏、天府中心现状建筑",青羊区,成都市青羊区国投建设发展有限公司
"锣锅巷,冠城凯乐,玉带桥,东打铜",青羊区,成都金利房屋拆迁服务有限公司
"锣锅巷,冠城凯乐,玉带桥,东打铜",青羊区,成都市青羊区国投建设发展有限公司
"西华门街,东城根中街,字库街,羊市街",青羊区,四川唯一鸿睿房屋拆迁有限公司
"西华门街,东城根中街,字库街,羊市街",青羊区,成都市青羊区国投建设发展有限公司
"同心路,饮马河,饮马河街,饮马河",青羊区,成都市青羊区统一建设办公室
"太升北路14号院落围墙,玉泉街20号围墙,玉泉街街沿,太升北路16号围墙",青羊区,成都市青羊区统一建设办公室
